"account_id","num_credit","num_withdrawal","max_credit","min_credit","avg_credit","median_credit","iqr_credit","max_withdrawal","min_withdrawal","avg_withdrawal","median_withdrawal","iqr_withdrawal","avg_amount","median_amount","iqr_amount","max_balance","min_balance","avg_balance","median_balance","iqr_balance","frequency_num","avg_monthly_balance","time_bf_loan","age_at_loan","card_num","status","age","gender","avg_salary","district_id","nb_inhabitants","nb_cities","ratio_urban_inhabitants","unemploymant_95","unemploymant_96","nb_entrepeneurs","crime_95","loan_id","duration_loan","payments_loan"
1787,4,0,9900,1100,5025,4550,4075,0,0,0,0,0,5025,4550,4075,20100,1100,12250,13900,9100,"weekly issuance",12250,383,459983,"none",-1,73,"F",9650,30,94812,10,81.8,"3.38",3.67,100,2985,5314,12,8033
1801,17,18,36574,2.9,13523.1588235294,8368,27791.6,54300,14.6,8884.24,3793,5997.25,1411.05135135135,-14.6,9797,120512.8,700,52083.8594594595,52208.9,43312.7,"monthly issuance",46732.2390740741,498,249989,"none",1,53,"M",8369,46,112709,10,73.5,"1.79",2.31,117,2854,5316,36,4610
9188,15,9,19065,48.6,5009.73333333333,139.8,12613.65,14800,66,6097,5300,8500,844.708333333333,84.85,3400,49590.4,800,30060.9541666667,30463.95,9173.775,"monthly issuance",25587.1755952381,520,570126,"none",1,85,"M",8390,45,77917,5,53.5,"2.28",2.89,132,2080,6863,60,2118
1843,13,12,26448,132.8,9254.6,3900,17453.9,15600,14.6,7168.1,6994,7425,1371.704,132.8,10894,65898.5,1000,41297.48,39450.5,15621.9,"monthly issuance",33742.3734693878,673,530383,"none",1,80,"F",8754,12,107870,6,58,"3.83",4.31,137,3804,5325,36,2939
11013,13,14,63366,77.1,21255.9307692308,600,42035.7,36700,30,16801,12199.5,24350,1522.70740740741,-30,12626.9,122893.1,600,57188.2111111111,51865.1,21915.9,"weekly issuance",51800.6414965986,692,149999,"none",1,43,"M",12541,1,1204953,1,100,"0.29",0.43,167,85677,7240,60,4579
8261,14,3,32938,51.3,7331.98571428571,263.4,16846.575,22000,15200,19600,21600,3400,2579.28235294118,176.4,2045.7,65847.8,500,46318.5529411765,57602.6,40148.7,"monthly issuance",45947.94,401,130697,"none",1,40,"F",8598,13,53921,2,41.3,"2.77",3.26,123,1597,6687,24,3660
11265,21,22,11427,43.9,4304.0380952381,3700,7505.8,17920,14.6,3152.53636363636,2607,3944,489.046511627907,-14.6,6107,41469.1,1000,22198.1790697674,21029,6879.55,"monthly issuance",21108.6166666667,801,200699,"none",1,48,"M",9045,15,58796,5,51.9,"3.13",3.6,124,1845,7284,12,4399
5428,16,14,47436,77.8,13374.85,5634,24160.925,52600,14.6,9741.05,5100,5055.25,1816.9,31.6,10617,105628,1000,37485.45625,26584.9,35899.15,"monthly issuance",39265.6888492064,510,450112,"none",-1,72,"F",8991,24,122603,8,80,"1.39",2.01,128,5198,6111,24,7281
10973,16,14,39098,13.6,11408.9875,5951,23929.675,19200,30,8071.3125,6450,12461.75,1668.8375,-8.2,10150.5,81723.5,8897,46715.8,45202.6,20033.875,"weekly issuance",45394.0625510204,593,240488,"none",1,51,"F",8968,18,70699,4,65.3,"2.83",3.35,131,1740,7235,48,3217
4894,9,4,29255,45.1,13154.8333333333,800,29073.4,24000,2100,16300,19550,9750,4091.80769230769,181.6,31355,76985.2,800,44131.1692307692,47548.6,23138.5,"monthly issuance",38353.68,484,580101,"none",1,86,"M",10045,14,177686,9,74.8,"1.42",1.71,135,6604,5997,24,4876
10364,21,24,21739.5,38.3,7551.7380952381,4200,14360.3,17200,14.6,4562.625,4950,5787,1090.74444444444,-14.6,6200,60432.4,1100,34272.2133333333,33949.4,9004.7,"monthly issuance",32475.7350649351,993,330290,"none",1,61,"M",8743,55,157042,9,33.9,"1.88",2.43,111,3659,7121,36,609
5270,22,28,67124,110.2,23558.2909090909,22774.5,44459.075,51700,14.6,13372.1483870968,10200,19111,1957.4679245283,-14.6,11766.4,125825.7,800,69954.5716981132,74616.4,35062.5,"monthly issuance",69275.0657142857,1009,230694,"none",1,51,"M",8254,44,105606,7,53,"2.79",3.76,97,2166,6077,24,3317
6034,31,28,47757,42.4,16035.5580645161,15436,25447.8,41000,30,11073.8378378378,8500,12055,1284.85735294118,-30,18403.25,125943.1,200,51760.0161764706,46393.3,37553.35,"weekly issuance",48798.1252910053,882,529999,"none",-1,80,"F",8546,6,77963,4,51.5,"2.95",4.02,126,2640,6228,60,7742
6701,22,23,35760,23.6,11706.5909090909,7262,20375.7,33500,30,9195.12,2700,11900,588.659574468085,-30,5844.5,92354.8,200,41562.3234042553,39490,32647.8,"weekly issuance",41383.9890740741,893,220998,"none",1,50,"M",8208,49,75685,9,60.8,"1.89",2.26,155,1660,6356,36,2650
2705,12,7,15649,48,7084.7,3000,15458.975,15500,100,7185.71428571429,3900,9500,1827.17894736842,189.2,13474.5,52378.2,600,37510.4947368421,37476.1,15243.1,"issuance after transaction",35811.6833333333,503,430188,"none",1,70,"F",8288,63,86513,5,50.5,"3.79",4.52,110,1562,5523,36,2608
7123,22,19,47705,32.8,13031.0636363636,7967,25138.275,51800,100,11395.5,8393,11935.75,1399.36666666667,71,14136,112901.6,200,60382.0857142857,63745.3,33269.925,"issuance after transaction",51501.2518518518,795,359978,"none",1,63,"F",9624,64,197099,10,74.7,"1.60",2.31,145,4484,6456,12,3918
10320,10,7,38960,75.3,14443.35,13386.5,25713.175,21500,1300,11030.5714285714,11700,7257,3954.08823529412,185.7,35173,79633.5,800,45198.1529411765,44480,25973,"monthly issuance",39381.5888888889,502,140897,"none",1,42,"M",9893,68,228848,6,57.2,"4.09",4.72,96,5623,7104,60,4329
9034,18,10,32706,9.9,8067.86111111111,180.3,21760.3,20600,14.6,8863.23636363636,9115,5751.5,1645.72068965517,21.6,7200,62324.6,900,37462.0931034483,35767.5,15723.8,"monthly issuance",32929.7948979592,588,281094,"none",1,55,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,6820,12,3179
9236,12,3,17859,29.8,4879.43333333333,458.85,11849.55,11100,2200,7100,8000,4450,2483.54666666667,88.4,7822.05,48353.1,800,25714.0466666667,26411.7,13883.45,"monthly issuance",23685.845,403,320293,"none",1,60,"M",9622,11,75637,7,36.5,"0.45",0.59,154,3475,6876,12,7218
10266,15,8,49887,50.5,11677,318.9,17445.3,31100,3200,16650,15200,14325,1824.13043478261,164.6,8959.45,89754.8,400,50009.9086956522,51090.4,21705.4,"monthly issuance",48161.1228571429,613,350016,"none",-1,62,"M",9897,54,387570,1,100,"1.60",1.96,140,18721,7097,24,3151
2,22,29,30354,13.5,10394.7863636364,2400,20095.5,22400,14.6,6276.39375,4100,5024.5,515.568518518519,-14.6,5258.3,67529.6,1100,32590.6240740741,31258.65,13579.5,"monthly issuance",31657.2392496392,9879,489901,"none",1,76,"M",12541,1,1204953,1,100,"0.29",0.43,167,85677,4959,24,3373
7401,22,29,30354,13.5,10395.1772727273,2400,20090.8,22400,14.6,6248.26875,4050,5049.5,532.394444444444,-14.6,5257.475,67529.6,1100,33312.5388888889,32353.2,13016.55,"monthly issuance",32047.5985569986,9879,489901,"none",1,76,"M",12541,1,1204953,1,100,"0.29",0.43,167,85677,6499,24,3373
2486,31,33,49536,12.5,20344.6774193548,13907,39172.15,59200,14.6,13143.5428571429,8250,14663.25,1077.48219178082,-14.6,16817,125254.2,200,55582.2260273973,49695.4,47075.2,"monthly issuance",47671.8481529582,9883,359103,"none",1,63,"M",12541,1,1204953,1,100,"0.29",0.43,167,85677,5479,12,2043
1071,21,17,46304,69.5,13560.8904761905,5800,19893.6,42600,30,10181.4,5000,13857,1979.28536585366,69.5,10700,104417.9,800,47302.5463414634,48028.4,49698.4,"weekly issuance",46825.1695767196,9610,439807,"none",1,70,"F",9893,68,228848,6,57.2,"4.09",4.72,96,5623,5170,60,4220
8475,13,2,9738,48.5,3012.85384615385,300,6406,5700,2600,4150,4150,1550,2057.80666666667,107.8,6430.7,33467,1100,21575.6866666667,22671.3,11155.35,"monthly issuance",19563.465,9213,299312,"none",1,56,"F",9753,4,149893,6,67.4,"4.64",5.05,109,5244,6721,24,878
11111,23,32,45740,35.7,16822.8260869565,7983,36867.2,60600,14.6,11406.3625,4736,12175,398.570909090909,-14.6,7186,123863.4,900,54652.8981818182,47847.1,36493.35,"monthly issuance",49101.3046873497,9611,309619,"none",1,57,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,7259,36,3004
1603,24,27,11416,24,3975.20833333333,2400,7481.175,6300,14.6,2622.37037037037,2359,3373,482.372549019608,-14.6,3809,40560.3,900,25900.3196078431,25457.3,8492.35,"monthly issuance",25773.6537460317,9697,370084,"none",1,63,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,5285,12,6578
1166,20,32,27946,31.1,9496.58,1200,18475.125,15900,14.6,5026.41176470588,4298.5,2200,352.474074074074,-2250,4558.425,62441.6,200,36845.5888888889,36475.7,14690.9,"monthly issuance",34581.843015873,9786,258987,"none",1,52,"F",9622,11,75637,7,36.5,"0.45",0.59,154,3475,5189,48,3105
8073,17,30,45628,166.4,15663.0352941176,12334,19700,62700,100,7831.1875,3950,10872,319.869387755102,-695,7723,126833,900,46576.2775510204,39734.1,36295,"issuance after transaction",42620.3379124579,9314,489214,"none",-1,75,"F",8991,24,122603,8,80,"1.39",2.01,128,5198,6650,12,4110
10940,11,5,36216,68.3,12363.1454545455,2300,23947.5,25100,5700,18540,24200,11900,2705.9125,196.5,31644,74413.6,300,44735.43125,48920.45,14620.575,"monthly issuance",39798.1611111111,9310,239718,"none",1,50,"F",8187,50,102609,6,52,"4.83",5.45,94,2123,7226,36,5493
5313,24,41,44519,39.4,14927.625,7233,29486.2,48900,14.6,7722.47619047619,5200,5683,513.924242424242,-958,6028.025,135175.2,800,45854.8909090909,39005.3,36218.45,"monthly issuance",38059.6185491276,9798,440120,"none",1,71,"M",9317,40,128118,8,85.3,"6.49",7.07,97,6949,6087,60,5011
