"Id","Predicted"
5895,0.016
7122,0.492
6173,0.104
6142,0.122
5358,0.408
6095,0.026
6878,0.126
6554,0.136
6793,0.222
7286,0.11
6076,0.034
5134,0.044
5419,0.204
6255,0.274
5656,0.11
6934,0.244
6028,0.042
6490,0.192
6415,0.138
7087,0.03
5420,0.104
5977,0.084
6824,0.426
5207,0.106
7115,0.384
7250,0.03
6010,0.334
6088,0.19
5682,0.134
7201,0.126
6938,0.092
6875,0.098
5953,0.186
5942,0.024
5382,0.052
6377,0.04
5931,0.2
5992,0.014
5790,0.292
6753,0.134
6562,0.1
7046,0.526
5868,0.166
5784,0.244
5878,0.06
5110,0.102
5210,0.104
7230,0.106
5005,0.14
6871,0.082
5363,0.504
7253,0.116
6055,0.086
5072,0.16
6913,0.142
6386,0.242
5634,0.166
5758,0.3
6819,0.284
7088,0.026
5039,0.194
5532,0.07
6037,0.03
6322,0.07
6887,0.146
6660,0.122
5451,0.108
6014,0.05
5556,0.174
6346,0.106
5850,0.132
5940,0.068
7119,0.152
5253,0.332
6851,0.6
6695,0.17
6908,0.336
7255,0.086
5674,0.116
6278,0.242
5486,0.116
5174,0.122
6621,0.062
6313,0.08
6435,0.092
6970,0.154
6310,0.158
5932,0.112
6877,0.094
6763,0.538
7085,0.158
7049,0.032
6959,0.416
5214,0.12
6350,0.104
5063,0.694
5041,0.092
5086,0.114
6942,0.046
5270,0.026
6705,0.108
7051,0.204
6758,0.2
6249,0.166
5808,0.046
5377,0.152
5446,0.076
5856,0.464
4986,0.216
7001,0.038
6677,0.178
6665,0.026
5817,0.57
6984,0.09
6541,0.018
5117,0.154
6097,0.102
5389,0.142
7219,0.04
6338,0.166
6922,0.182
5367,0.198
5638,0.1
5830,0.06
5338,0.41
6007,0.046
6612,0.188
5718,0.086
6104,0.042
5229,0.116
6625,0.206
5206,0.102
5963,0.232
4990,0.03
6641,0.076
5369,0.23
6196,0.074
5236,0.14
5719,0.108
5643,0.168
7050,0.172
6355,0.116
6688,0.224
6239,0.25
5531,0.032
6113,0.048
7181,0.258
6118,0.142
7264,0.154
5343,0.036
5051,0.226
5779,0.29
6605,0.1
6655,0.124
6534,0.132
5681,0.122
6607,0.05
6242,0.276
7242,0.1
7277,0.202
6675,0.04
5398,0.198
5956,0.118
5731,0.256
6956,0.11
6437,0.282
5447,0.654
5973,0.154
6075,0.476
5281,0.256
5103,0.11
6468,0.032
7209,0.384
5584,0.024
4988,0.42
6502,0.032
5651,0.03
4962,0.068
5862,0.044
7199,0.034
6727,0.268
7279,0.118
6544,0.046
5933,0.042
6574,0.122
6399,0.022
7187,0.118
6353,0.064
5043,0.156
5469,0.248
5976,0.122
6059,0.186
5799,0.08
6147,0.226
6254,0.1
7100,0.128
7147,0.178
5909,0.146
7037,0.058
5782,0.12
6237,0.632
6552,0.02
7067,0.072
5320,0.11
5930,0.15
6486,0.206
5245,0.09
6643,0.018
5260,0.072
5569,0.374
7110,0.106
7139,0.048
6791,0.14
5360,0.068
5287,0.296
6553,0.078
7072,0.038
6044,0.048
5332,0.068
6866,0.214
6633,0.12
6926,0.066
6442,0.068
5889,0.084
5765,0.24
5124,0.088
5491,0.33
6730,0.17
7151,0.072
5140,0.236
7171,0.086
6568,0.076
6861,0.068
6855,0.208
7129,0.092
5384,0.102
6859,0.148
5772,0.05
5665,0.038
6495,0.1
5061,0.188
6948,0.19
5773,0.278
6052,0.192
6682,0.492
6083,0.092
6962,0.132
5158,0.15
6464,0.102
5172,0.118
5582,0.17
6136,0.128
6235,0.054
6508,0.192
4968,0.2
6632,0.092
7195,0.204
5525,0.282
6320,0.088
6766,0.082
6872,0.362
5906,0.076
7172,0.032
6571,0.032
5616,0.084
6312,0.138
6470,0.064
5147,0.332
5501,0.142
6436,0.242
5699,0.204
5313,0.056
6234,0.016
6569,0.064
7202,0.214
5683,0.226
5034,0.088
5435,0.122
5815,0.196
5589,0.276
6746,0.25
6790,0.262
6857,0.048
6450,0.046
7221,0.272
5527,0.144
5620,0.106
6215,0.048
7167,0.092
5823,0.13
6207,0.032
6932,0.026
5669,0.062
5154,0.122
7168,0.09
5585,0.254
7200,0.204
6539,0.112
5774,0.258
6357,0.08
5042,0.162
5015,0.148
5354,0.114
6054,0.27
7295,0.108
5365,0.438
6755,0.208
5991,0.48
7035,0.058
5893,0.184
7164,0.024
5304,0.074
5561,0.06
5520,0.076
5241,0.208
7096,0.05
6078,0.024
5046,0.458
5334,0.11
6969,0.05
6821,0.16
5760,0.08
5614,0.028
7091,0.056
5698,0.028
5169,0.182
7294,0.024
5318,0.172
5368,0.058
6923,0.042
5463,0.172
5265,0.192
6321,0.112
5226,0.274
6868,0.176
4967,0.554
5293,0.08
5865,0.082
5841,0.064
5526,0.02
6852,0.292
6469,0.024
6168,0.1
7292,0.034
5036,0.142
5644,0.148
6856,0.346
5428,0.178
5027,0.048
4989,0.26
5221,0.136
6402,0.05
5346,0.098
6748,0.234
