"Id","Predicted"
5895,0
7122,0.938
6173,0.214
6142,0.18
5358,0.38
6095,0.016
6878,0.142
6554,0.106
6793,0.332
7286,0.072
6076,0.002
5134,0.016
5419,0.074
6255,0.234
5656,0.03
6934,0.194
6028,0.004
6490,0.228
6415,0.19
7087,0.002
5420,0.044
5977,0.068
6824,0.916
5207,0.022
7115,0.55
7250,0.004
6010,0.434
6088,0.24
5682,0.432
7201,0.444
6938,0.146
6875,0.08
5953,0.246
5942,0.002
5382,0.022
6377,0.01
5931,0.22
5992,0
5790,0.308
6753,0.158
6562,0.006
7046,0.724
5868,0.088
5784,0.302
5878,0.002
5110,0.018
5210,0.012
7230,0.026
5005,0.034
6871,0.024
5363,0.872
7253,0.208
6055,0.018
5072,0.122
6913,0.064
6386,0.404
5634,0.472
5758,0.324
6819,0.274
7088,0.002
5039,0.314
5532,0.024
6037,0.016
6322,0.026
6887,0.248
6660,0.122
5451,0.006
6014,0.018
5556,0.302
6346,0.032
5850,0.086
5940,0.032
7119,0.252
5253,0.39
6851,0.948
6695,0.198
6908,0.418
7255,0.014
5674,0.01
6278,0.628
5486,0.046
5174,0.124
6621,0.026
6313,0.008
6435,0.072
6970,0.264
6310,0.034
5932,0.024
6877,0.03
6763,0.722
7085,0.11
7049,0.034
6959,0.928
5214,0.062
6350,0.014
5063,0.892
5041,0.02
5086,0.01
6942,0.054
5270,0.028
6705,0.026
7051,0.31
6758,0.132
6249,0.14
5808,0.08
5377,0.114
5446,0.004
5856,0.928
4986,0.18
7001,0.008
6677,0.114
6665,0.018
5817,0.926
6984,0.178
6541,0.002
5117,0.004
6097,0.116
5389,0.15
7219,0.068
6338,0.19
6922,0.208
5367,0.216
5638,0.048
5830,0.08
5338,0.94
6007,0.014
6612,0.234
5718,0.062
6104,0.014
5229,0.026
6625,0.246
5206,0.006
5963,0.276
4990,0
6641,0.056
5369,0.36
6196,0.012
5236,0.132
5719,0.016
5643,0.184
7050,0.266
6355,0.108
6688,0.504
6239,0.262
5531,0.028
6113,0.062
7181,0.402
6118,0.182
7264,0.154
5343,0.006
5051,0.22
5779,0.414
6605,0.03
6655,0.046
6534,0.162
5681,0.022
6607,0.014
6242,0.168
7242,0.028
7277,0.046
6675,0.004
5398,0.396
5956,0.002
5731,0.264
6956,0.07
6437,0.256
5447,0.834
5973,0.202
6075,0.914
5281,0.17
5103,0.194
6468,0.002
7209,0.634
5584,0.002
4988,0.41
6502,0.032
5651,0.004
4962,0.022
5862,0.014
7199,0.012
6727,0.262
7279,0.064
6544,0.04
5933,0.006
6574,0.012
6399,0.004
7187,0.352
6353,0.044
5043,0.2
5469,0.224
5976,0.104
6059,0.118
5799,0.012
6147,0.242
6254,0.042
7100,0.016
7147,0.282
5909,0.128
7037,0.004
5782,0.036
6237,0.904
6552,0.004
7067,0.204
5320,0.06
5930,0.066
6486,0.144
5245,0.018
6643,0.016
5260,0.02
5569,0.412
7110,0.084
7139,0.04
6791,0.102
5360,0.028
5287,0.39
6553,0.14
7072,0.004
6044,0.008
5332,0.014
6866,0.056
6633,0.132
6926,0
6442,0.094
5889,0.012
5765,0.404
5124,0.014
5491,0.33
6730,0.112
7151,0.128
5140,0.2
7171,0.14
6568,0.016
6861,0.158
6855,0.288
7129,0.016
5384,0.006
6859,0.286
5772,0.02
5665,0.008
6495,0.052
5061,0.088
6948,0.176
5773,0.402
6052,0.188
6682,0.846
6083,0.15
6962,0.066
5158,0.112
6464,0.132
5172,0.114
5582,0.572
6136,0.034
6235,0.018
6508,0.208
4968,0.198
6632,0.02
7195,0.186
5525,0.526
6320,0.054
6766,0.014
6872,0.614
5906,0.084
7172,0
6571,0.028
5616,0.04
6312,0.088
6470,0.022
5147,0.26
5501,0.016
6436,0.188
5699,0.174
5313,0.016
6234,0.002
6569,0.02
7202,0.26
5683,0.232
5034,0.064
5435,0.186
5815,0.096
5589,0.272
6746,0.526
6790,0.292
6857,0.008
6450,0
7221,0.356
5527,0.084
5620,0.01
6215,0.002
7167,0.056
5823,0.016
6207,0.008
6932,0.018
5669,0.014
5154,0.038
7168,0.036
5585,0.314
7200,0.23
6539,0.06
5774,0.29
6357,0.156
5042,0.014
5015,0.068
5354,0.334
6054,0.26
7295,0.012
5365,0.658
6755,0.372
5991,0.922
7035,0.1
5893,0.036
7164,0.006
5304,0.044
5561,0.054
5520,0.014
5241,0.452
7096,0.024
6078,0.008
5046,0.658
5334,0.026
6969,0
6821,0.098
5760,0.01
5614,0.008
7091,0.09
5698,0.002
5169,0.396
7294,0.014
5318,0.148
5368,0.012
6923,0.012
5463,0.114
5265,0.154
6321,0.06
5226,0.294
6868,0.224
4967,0.95
5293,0.22
5865,0.028
5841,0.01
5526,0.004
6852,0.462
6469,0.006
6168,0.012
7292,0.024
5036,0.092
5644,0.14
6856,0.514
5428,0.186
5027,0.004
4989,0.178
5221,0.11
6402,0.004
5346,0.004
6748,0.47
