"Id","Predicted"
5895,0.008
7122,0.586
6173,0.098
6142,0.114
5358,0.328
6095,0.044
6878,0.136
6554,0.158
6793,0.238
7286,0.092
6076,0.014
5134,0.032
5419,0.154
6255,0.268
5656,0.094
6934,0.25
6028,0.01
6490,0.178
6415,0.17
7087,0.014
5420,0.076
5977,0.112
6824,0.558
5207,0.052
7115,0.432
7250,0.032
6010,0.33
6088,0.182
5682,0.198
7201,0.21
6938,0.076
6875,0.102
5953,0.188
5942,0.004
5382,0.018
6377,0.026
5931,0.224
5992,0.006
5790,0.294
6753,0.174
6562,0.046
7046,0.57
5868,0.076
5784,0.25
5878,0.006
5110,0.102
5210,0.038
7230,0.044
5005,0.084
6871,0.084
5363,0.552
7253,0.11
6055,0.068
5072,0.146
6913,0.064
6386,0.296
5634,0.162
5758,0.314
6819,0.302
7088,0.004
5039,0.158
5532,0.09
6037,0.06
6322,0.072
6887,0.198
6660,0.128
5451,0.048
6014,0.038
5556,0.246
6346,0.138
5850,0.188
5940,0.042
7119,0.146
5253,0.366
6851,0.68
6695,0.19
6908,0.352
7255,0.056
5674,0.072
6278,0.236
5486,0.062
5174,0.13
6621,0.032
6313,0.068
6435,0.074
6970,0.206
6310,0.092
5932,0.114
6877,0.056
6763,0.604
7085,0.234
7049,0.054
6959,0.628
5214,0.12
6350,0.034
5063,0.82
5041,0.054
5086,0.064
6942,0.044
5270,0.012
6705,0.116
7051,0.146
6758,0.196
6249,0.158
5808,0.034
5377,0.14
5446,0.048
5856,0.606
4986,0.144
7001,0.036
6677,0.178
6665,0.012
5817,0.67
6984,0.106
6541,0.008
5117,0.066
6097,0.12
5389,0.11
7219,0.044
6338,0.096
6922,0.25
5367,0.266
5638,0.112
5830,0.092
5338,0.488
6007,0.03
6612,0.244
5718,0.038
6104,0.036
5229,0.058
6625,0.214
5206,0.072
5963,0.128
4990,0.016
6641,0.066
5369,0.254
6196,0.062
5236,0.128
5719,0.024
5643,0.218
7050,0.134
6355,0.128
6688,0.29
6239,0.192
5531,0.04
6113,0.042
7181,0.26
6118,0.144
7264,0.158
5343,0.026
5051,0.25
5779,0.232
6605,0.084
6655,0.096
6534,0.178
5681,0.07
6607,0.012
6242,0.184
7242,0.092
7277,0.082
6675,0.01
5398,0.196
5956,0.032
5731,0.286
6956,0.106
6437,0.278
5447,0.666
5973,0.172
6075,0.58
5281,0.18
5103,0.072
6468,0.014
7209,0.482
5584,0.01
4988,0.382
6502,0.034
5651,0.014
4962,0.022
5862,0.026
7199,0.038
6727,0.278
7279,0.13
6544,0.032
5933,0.034
6574,0.102
6399,0.026
7187,0.106
6353,0.07
5043,0.104
5469,0.248
5976,0.126
6059,0.158
5799,0.076
6147,0.206
6254,0.096
7100,0.03
7147,0.24
5909,0.11
7037,0.042
5782,0.098
6237,0.714
6552,0.012
7067,0.058
5320,0.114
5930,0.094
6486,0.216
5245,0.032
6643,0.008
5260,0.072
5569,0.458
7110,0.136
7139,0.03
6791,0.104
5360,0.02
5287,0.276
6553,0.1
7072,0.02
6044,0.028
5332,0.03
6866,0.126
6633,0.164
6926,0.012
6442,0.096
5889,0.062
5765,0.266
5124,0.052
5491,0.334
6730,0.16
7151,0.118
5140,0.192
7171,0.124
6568,0.056
6861,0.058
6855,0.184
7129,0.036
5384,0.016
6859,0.206
5772,0.068
5665,0.016
6495,0.106
5061,0.138
6948,0.214
5773,0.402
6052,0.132
6682,0.528
6083,0.146
6962,0.174
5158,0.138
6464,0.128
5172,0.12
5582,0.186
6136,0.102
6235,0.034
6508,0.134
4968,0.12
6632,0.068
7195,0.19
5525,0.22
6320,0.114
6766,0.058
6872,0.416
5906,0.062
7172,0.018
6571,0.018
5616,0.096
6312,0.118
6470,0.058
5147,0.25
5501,0.136
6436,0.234
5699,0.174
5313,0.034
6234,0.004
6569,0.028
7202,0.284
5683,0.236
5034,0.024
5435,0.082
5815,0.15
5589,0.272
6746,0.344
6790,0.31
6857,0.058
6450,0.026
7221,0.306
5527,0.122
5620,0.056
6215,0.01
7167,0.062
5823,0.082
6207,0.036
6932,0.014
5669,0.03
5154,0.134
7168,0.054
5585,0.268
7200,0.206
6539,0.074
5774,0.346
6357,0.108
5042,0.046
5015,0.096
5354,0.122
6054,0.304
7295,0.062
5365,0.51
6755,0.272
5991,0.55
7035,0.074
5893,0.134
7164,0.048
5304,0.048
5561,0.11
5520,0.03
5241,0.302
7096,0.022
6078,0.028
5046,0.446
5334,0.076
6969,0.006
6821,0.122
5760,0.046
5614,0.026
7091,0.04
5698,0.02
5169,0.17
7294,0.032
5318,0.19
5368,0.018
6923,0.016
5463,0.174
5265,0.21
6321,0.126
5226,0.31
6868,0.198
4967,0.562
5293,0.094
5865,0.064
5841,0.058
5526,0.006
6852,0.356
6469,0.016
6168,0.056
7292,0.012
5036,0.168
5644,0.102
6856,0.426
5428,0.108
5027,0.032
4989,0.182
5221,0.134
6402,0.028
5346,0.08
6748,0.362
