"Id","Predicted"
5895,0
7122,0.982
6173,0.224
6142,0.094
5358,0.46
6095,0.002
6878,0.134
6554,0.094
6793,0.414
7286,0.05
6076,0
5134,0.012
5419,0.064
6255,0.21
5656,0.008
6934,0.164
6028,0
6490,0.276
6415,0.182
7087,0
5420,0.028
5977,0.032
6824,0.978
5207,0.012
7115,0.584
7250,0
6010,0.486
6088,0.224
5682,0.564
7201,0.562
6938,0.222
6875,0.08
5953,0.252
5942,0.002
5382,0.008
6377,0.006
5931,0.22
5992,0
5790,0.318
6753,0.15
6562,0.004
7046,0.742
5868,0.06
5784,0.32
5878,0.004
5110,0.032
5210,0.012
7230,0.028
5005,0.008
6871,0.022
5363,0.954
7253,0.244
6055,0.018
5072,0.132
6913,0.044
6386,0.428
5634,0.536
5758,0.34
6819,0.282
7088,0
5039,0.364
5532,0.042
6037,0.012
6322,0.008
6887,0.314
6660,0.118
5451,0.002
6014,0.01
5556,0.346
6346,0.036
5850,0.064
5940,0.012
7119,0.302
5253,0.402
6851,0.986
6695,0.218
6908,0.42
7255,0.01
5674,0.004
6278,0.698
5486,0.024
5174,0.106
6621,0.016
6313,0
6435,0.036
6970,0.238
6310,0.01
5932,0.01
6877,0.03
6763,0.75
7085,0.118
7049,0.004
6959,0.986
5214,0.04
6350,0.002
5063,0.874
5041,0.002
5086,0.002
6942,0.076
5270,0.022
6705,0.008
7051,0.374
6758,0.08
6249,0.114
5808,0.106
5377,0.1
5446,0.002
5856,0.99
4986,0.132
7001,0.008
6677,0.116
6665,0.016
5817,0.988
6984,0.126
6541,0
5117,0.012
6097,0.126
5389,0.122
7219,0.074
6338,0.234
6922,0.19
5367,0.202
5638,0.018
5830,0.112
5338,0.984
6007,0.008
6612,0.252
5718,0.036
6104,0.002
5229,0.018
6625,0.34
5206,0.002
5963,0.322
4990,0
6641,0.038
5369,0.37
6196,0.004
5236,0.094
5719,0.016
5643,0.122
7050,0.31
6355,0.09
6688,0.562
6239,0.316
5531,0.006
6113,0.072
7181,0.444
6118,0.258
7264,0.13
5343,0.004
5051,0.098
5779,0.488
6605,0.026
6655,0.028
6534,0.188
5681,0.006
6607,0.002
6242,0.168
7242,0.014
7277,0.026
6675,0.002
5398,0.474
5956,0.004
5731,0.346
6956,0.038
6437,0.26
5447,0.928
5973,0.29
6075,0.97
5281,0.112
5103,0.172
6468,0
7209,0.692
5584,0.002
4988,0.414
6502,0.01
5651,0
4962,0.006
5862,0.002
7199,0.01
6727,0.328
7279,0.026
6544,0.014
5933,0.006
6574,0.008
6399,0
7187,0.37
6353,0.016
5043,0.166
5469,0.22
5976,0.126
6059,0.188
5799,0.014
6147,0.26
6254,0.016
7100,0.012
7147,0.308
5909,0.188
7037,0.002
5782,0.008
6237,0.964
6552,0.002
7067,0.278
5320,0.048
5930,0.068
6486,0.12
5245,0.012
6643,0.006
5260,0.01
5569,0.456
7110,0.064
7139,0.02
6791,0.144
5360,0.012
5287,0.45
6553,0.132
7072,0
6044,0.002
5332,0.002
6866,0.078
6633,0.182
6926,0
6442,0.056
5889,0.016
5765,0.502
5124,0.002
5491,0.378
6730,0.104
7151,0.16
5140,0.206
7171,0.138
6568,0.008
6861,0.228
6855,0.26
7129,0.024
5384,0.002
6859,0.3
5772,0.004
5665,0.002
6495,0.036
5061,0.05
6948,0.126
5773,0.438
6052,0.172
6682,0.958
6083,0.126
6962,0.064
5158,0.094
6464,0.164
5172,0.098
5582,0.606
6136,0.016
6235,0.026
6508,0.186
4968,0.18
6632,0.018
7195,0.17
5525,0.58
6320,0.036
6766,0.02
6872,0.63
5906,0.178
7172,0
6571,0.008
5616,0.012
6312,0.094
6470,0.004
5147,0.194
5501,0.016
6436,0.182
5699,0.236
5313,0.012
6234,0
6569,0.002
7202,0.276
5683,0.268
5034,0.118
5435,0.226
5815,0.134
5589,0.298
6746,0.56
6790,0.25
6857,0
6450,0
7221,0.448
5527,0.112
5620,0.016
6215,0.002
7167,0.052
5823,0
6207,0.014
6932,0.002
5669,0.004
5154,0.008
7168,0.018
5585,0.368
7200,0.246
6539,0.048
5774,0.284
6357,0.15
5042,0.004
5015,0.05
5354,0.404
6054,0.184
7295,0.01
5365,0.692
6755,0.418
5991,0.972
7035,0.108
5893,0.032
7164,0.006
5304,0.028
5561,0.042
5520,0.004
5241,0.478
7096,0.01
6078,0.002
5046,0.714
5334,0.02
6969,0
6821,0.11
5760,0.012
5614,0.006
7091,0.076
5698,0.012
5169,0.448
7294,0.004
5318,0.096
5368,0.006
6923,0.006
5463,0.052
5265,0.07
6321,0.042
5226,0.26
6868,0.192
4967,0.986
5293,0.282
5865,0.032
5841,0.004
5526,0.01
6852,0.528
6469,0
6168,0.006
7292,0.008
5036,0.056
5644,0.122
6856,0.556
5428,0.276
5027,0
4989,0.128
5221,0.092
6402,0
5346,0.006
6748,0.54
